58
0 1 10; 107.5 115
1 0 12 2; 107.5 264.594
2 1 14 3; 107.5 428.51
3 2 16 4; 107.5 587.655
4 3 18 7 5; 107.5 742.281
5 4 6; 107.5 1050.95
6 5 7; 193.763 906.952
7 4 8 6; 342.416 821.997
8 7 18 20 9; 481.388 839.786
9 8 20 22; 582.335 963.118
22 9 57 23; 667.771 1058.32
57 22 23; 908.389 986.676
23 57 22; 1132.5 1055
10 0 11 13 12; 672.553 106.248
11 10 12 13 31; 807.099 106.248
12 10 11 13 15 14 1; 668.906 262.677
13 10 11 32 15 14 12; 811.401 262.677
14 12 13 15 17 16 2; 669.962 422.664
15 12 13 33 17 16 14; 810.171 422.664
16 14 15 17 19 18 3; 669.826 579.089
17 14 15 34 19 18 16; 808.941 579.089
18 16 17 19 21 20 8 4; 668.836 738.953
19 16 17 25 21 20 18; 810.528 738.953
20 18 19 21 9 8; 669.743 882.961
21 19 24 20 18; 812.946 882.961
25 19 26 24; 1141.01 748.196
24 25 21; 1128.58 885
26 25 35 36 27; 1223.03 745
27 26 35 36 30 28; 1227.5 843.807
28 27 30 29; 1227.5 1043
29 28 30; 1287.5 1043.88
30 29 28 27 36 39; 1305.52 1055
39 30 36 38 48; 1612.76 1055
31 37 32 11; 1375.35 119.262
32 31 33 13; 1372.5 265.593
33 32 34 15; 1372.5 419.788
34 33 35 17; 1372.5 581.492
35 34 36 27 26; 1372.5 736.701
36 35 38 39 30 27 26; 1372.5 844.005
37 31 41 40 38; 1537.4 115
38 36 37 47 39; 1537.44 842.842
40 37 42; 1667.6 186.221
47 38 44 45 46; 1636.64 832.51
41 37 49 42; 1770.7 105
42 40 41 50 43; 1770.2 264.127
43 42 51 44; 1770.2 418.429
44 43 52 45 47; 1770.2 579.216
45 44 53 46 47; 1770.2 739.132
46 45 48 47; 1770.2 816.547
48 46 55 39; 1770.2 899.544
49 41 50; 2172.5 115
50 49 42 51; 2172.5 258.162
51 50 43 52; 2172.5 419.84
52 51 44 53; 2172.5 579.953
53 52 45 54; 2172.5 735.057
54 53 55 56; 2172.5 898.375
56 54 55; 2166.88 1041.2
55 48 54 56; 2108.57 901.015
